lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
école,NOM,f,s,197.04,128.51,325.55
vérité,NOM,f,s,190.21,133.38,323.59
putain,NOM,f,s,287.83,33.58,321.41
cours,NOM,,p,143.05,176.76,319.81
parent,NOM,m,p,177.04,138.72,315.76
milieu,NOM,m,s,68.6,246.69,315.29
esprit,NOM,m,s,131.7,182.84,314.54
dos,NOM,m,,100.34,213.99,314.33
droit,NOM,m,s,175.6,138.72,314.32
travers,NOM,m,,65.6,247.64,313.24
café,NOM,m,s,157.56,154.93,312.49
chemin,NOM,m,s,114.34,197.5,311.84
ordre,NOM,m,s,132.5,179.26,311.76
salle,NOM,f,s,111.1,197.64,308.74
docteur,NOM,m,s,223.48,83.11,306.59
journée,NOM,f,s,165.35,140.74,306.09
endroit,NOM,m,s,196.75,108.65,305.4
pièce,NOM,f,s,110.66,193.78,304.44
mec,NOM,m,s,252.94,50.41,303.35
bruit,NOM,m,s,78.94,223.18,302.12
revoir,NOM,m,s,262.05,36.01,298.06
semaine,NOM,f,s,186.01,111.89,297.9
nouveau,NOM,m,s,106.48,190.47,296.95
retour,NOM,m,s,138.02,153.31,291.33
affaire,NOM,f,p,186.32,102.84,289.16
jeu,NOM,m,s,156.79,130.68,287.47
bureau,NOM,m,s,156.68,130.07,286.75
vent,NOM,m,s,71.5,207.64,279.14
musique,NOM,f,s,168.89,109.8,278.69
coup,NOM,m,p,82.33,196.15,278.48
attention,NOM,f,s,156.9,119.66,276.56
chien,NOM,m,s,158.77,117.64,276.41
bord,NOM,m,s,77.06,197.36,274.42
effet,NOM,m,s,99.17,173.18,272.35
sœur,NOM,f,s,155.22,116.55,271.77
fenêtre,NOM,f,s,70.2,199.39,269.59
merde,NOM,f,s,206.68,61.28,267.96
livre,NOM,,,112.43,151.76,264.19
service,NOM,m,s,156.0,106.28,262.28
coin,NOM,m,s,93.43,167.09,260.52
année,NOM,f,s,129.64,128.99,258.63
peau,NOM,f,s,83.83,174.26,258.09
confiance,NOM,f,s,162.88,91.76,254.64
vieux,NOM,m,,124.54,129.8,254.34
nez,NOM,m,,75.18,177.64,252.82
roi,NOM,m,s,166.34,85.95,252.29
âme,NOM,f,s,122.22,129.53,251.75
hôtel,NOM,m,s,107.73,143.78,251.51
lettre,NOM,f,s,108.79,140.88,249.67
téléphone,NOM,m,s,155.68,93.99,249.67
paix,NOM,f,,144.86,103.72,248.58
oncle,NOM,m,s,124.11,121.96,246.07
film,NOM,m,s,195.1,49.53,244.63
maître,NOM,m,s,118.88,125.74,244.62
faute,NOM,f,s,163.19,81.08,244.27
capitaine,NOM,m,s,150.59,88.45,239.04
jambe,NOM,f,,67.51,171.01,238.52
début,NOM,m,s,109.88,128.51,238.39
or,NOM,m,s,109.96,127.23,237.19
lèvre,NOM,f,p,33.91,201.28,235.19
bonheur,NOM,m,s,78.34,156.35,234.69
impression,NOM,f,s,88.3,146.28,234.58
prix,NOM,m,,126.55,107.5,234.05
espèce,NOM,f,s,105.04,127.23,232.27
mur,NOM,m,s,58.9,172.57,231.47
sac,NOM,m,s,105.96,125.47,231.43
boulot,NOM,m,s,198.68,32.57,231.25
sourire,NOM,m,s,33.79,196.55,230.34
mariage,NOM,m,s,158.58,70.68,229.26
ombre,NOM,,s,35.98,190.61,226.59
an,NOM,m,s,148.41,76.76,225.17
aide,NOM,,s,171.41,52.3,223.71
intérieur,NOM,m,s,89.75,133.51,223.26
voyage,NOM,m,s,112.19,110.54,222.73
numéro,NOM,m,s,162.08,60.0,222.08
cour,NOM,f,s,71.8,150.14,221.94
doigt,NOM,m,p,45.86,175.81,221.67
propos,NOM,m,,115.21,106.28,221.49
petit,NOM,m,s,131.7,89.53,221.23
forme,NOM,f,s,82.61,137.91,220.52
vue,NOM,f,s,84.42,136.01,220.43
livre,NOM,,p,85.69,134.73,220.42
gueule,NOM,f,s,118.45,100.14,218.59
habitude,NOM,f,s,89.71,128.51,218.22
patron,NOM,m,s,122.44,93.85,216.29
honneur,NOM,m,s,126.78,87.64,214.42
question,NOM,f,p,118.19,95.95,214.14
exemple,NOM,m,s,91.83,119.19,211.02
bébé,NOM,m,s,173.82,36.22,210.04
fête,NOM,f,s,138.03,70.41,208.44
armée,NOM,f,s,93.97,114.46,208.43
cuisine,NOM,f,s,85.08,123.31,208.39
président,NOM,m,s,131.53,76.22,207.75
prison,NOM,f,s,142.97,64.66,207.63
odeur,NOM,f,s,47.19,159.86,207.05
village,NOM,m,s,87.6,118.24,205.84
minute,NOM,f,s,144.83,60.74,205.57
gauche,NOM,,s,71.66,133.78,205.44
joie,NOM,f,s,71.07,134.12,205.19
avis,NOM,m,p,139.22,65.14,204.36
geste,NOM,,s,31.41,172.03,203.44
rapport,NOM,m,s,115.57,87.23,202.8
jardin,NOM,m,s,54.01,148.72,202.73
faim,NOM,f,s,127.49,74.93,202.42
présent,NOM,m,s,65.14,137.23,202.37
papier,NOM,m,s,56.32,144.59,200.91
époque,NOM,f,s,67.23,132.7,199.93
seigneur,NOM,m,s,147.72,51.82,199.54
situation,NOM,f,s,101.39,96.62,198.01
journal,NOM,m,s,72.5,124.32,196.82
haut,NOM,m,s,75.22,121.01,196.23
fleur,NOM,f,p,74.56,121.42,195.98
sujet,NOM,m,s,107.92,88.04,195.96
cheval,NOM,m,s,85.42,110.27,195.69
peuple,NOM,m,s,105.65,89.39,195.04
sol,NOM,m,s,45.83,148.31,194.14
dame,NOM,f,s,86.5,106.15,192.65
scène,NOM,f,s,96.66,95.27,191.93
bas,NOM,m,p,71.78,119.86,191.64
long,NOM,m,s,21.48,170.07,191.55
front,NOM,m,s,38.81,152.57,191.38
semaine,NOM,f,p,104.84,85.61,190.45
ton,NOM,m,s,51.73,138.45,190.18
manière,NOM,f,s,55.43,134.66,190.09
contraire,NOM,m,s,62.03,125.47,187.5
plan,NOM,m,s,119.54,67.84,187.38
signe,NOM,m,s,67.74,119.19,186.93
épaule,NOM,f,p,14.5,171.76,186.26
premier,NOM,m,s,93.68,92.57,186.25
honte,NOM,f,s,103.26,82.64,185.9
avenir,NOM,m,s,72.47,113.18,185.65
robe,NOM,f,s,72.72,111.96,184.68
départ,NOM,m,s,67.35,116.96,184.31
église,NOM,f,s,60.2,123.58,183.78
