lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
meilleur,ADJ,f,s,73.69,24.86,49.275
premier,ADJ,m,p,19.36,77.7,48.53
riche,ADJ,,s,54.28,42.57,48.425
chaud,ADJ,m,s,50.2,46.42,48.31
exact,ADJ,m,s,76.66,19.86,48.26
doux,ADJ,m,,37.66,58.72,48.19
rapide,ADJ,,s,42.28,53.99,48.135
mort,ADJ,m,s,54.19,41.28,47.735
amoureux,ADJ,m,,63.41,31.28,47.345
prêt,ADJ,f,s,66.25,28.31,47.28
immobile,ADJ,,s,6.67,87.5,47.085
ridicule,ADJ,,s,57.05,36.49,46.77
présent,ADJ,m,s,40.09,53.24,46.665
différent,ADJ,m,s,65.42,27.43,46.425
nécessaire,ADJ,,s,44.29,48.45,46.37
prêt,ADJ,,,67.39,24.93,46.16
léger,ADJ,m,s,17.03,74.93,45.98
ancien,ADJ,m,s,32.41,59.26,45.835
compris,ADJ,m,,82.12,9.46,45.79
jaune,ADJ,,s,15.48,75.81,45.645
blanc,ADJ,m,p,17.46,72.77,45.115
entier,ADJ,f,s,26.45,62.97,44.71
incroyable,ADJ,,s,69.22,19.32,44.27
troisième,ADJ,,,30.49,57.43,43.96
nouveau,ADJ,m,p,39.17,47.3,43.235
humain,ADJ,m,s,50.53,35.81,43.17
vieil,ADJ,m,s,34.69,51.22,42.955
second,ADJ,f,s,32.34,53.51,42.925
désolé,ADJ,f,s,81.19,4.19,42.69
rose,ADJ,,s,18.43,66.62,42.525
large,ADJ,,s,14.25,70.54,42.395
bête,ADJ,,s,51.33,33.31,42.32
sympa,ADJ,,s,77.46,7.16,42.31
vert,ADJ,m,s,24.74,59.12,41.93
frais,ADJ,m,,27.41,56.22,41.815
long,ADJ,m,p,17.65,65.47,41.56
formidable,ADJ,,s,51.79,30.07,40.93
stupide,ADJ,,s,60.06,21.76,40.91
pâle,ADJ,,s,14.52,67.23,40.875
double,ADJ,,s,28.68,52.84,40.76
bas,ADJ,f,s,9.54,71.28,40.41
nouvelle,ADJ,f,p,38.37,41.69,40.03
humain,ADJ,f,s,32.37,47.43,39.9
ouvert,ADJ,f,s,16.67,62.84,39.755
horrible,ADJ,,s,57.16,20.74,38.95
